date,daily_points,cumulative_points
2023-08-31,-103,7785.081820000002
2023-09-01,31,7816.081820000002
2023-09-04,127,7943.081820000002
2023-09-05,-26,7917.081820000002
2023-09-06,-39,7878.081820000002
2023-09-07,-150,7728.081820000002
2023-09-08,-1,7727.081820000002
2023-09-11,-137,7590.081820000002
2023-09-12,145,7735.081820000002
2023-09-13,9,7744.081820000002
2023-09-14,257,8001.081820000002
2023-09-15,68,8069.081820000002
2023-09-18,-192,7877.081820000002
2023-09-19,-109.16484,7767.916980000002
2023-09-20,-56,7711.916980000002
2023-09-21,-254,7457.916980000002
2023-09-22,33,7490.916980000002
2023-09-25,121,7611.916980000002
2023-09-26,-160,7451.916980000002
2023-09-27,6,7457.916980000002
2023-09-28,56,7513.916980000002
2023-10-02,189,7702.916980000002
2023-10-03,-145,7557.916980000002
2023-10-04,-166,7391.916980000002
2023-10-05,212,7603.916980000002
2023-10-06,71,7674.916980000002
2023-10-11,186,7860.916980000002
2023-10-12,134,7994.916980000002
2023-10-13,-77,7917.916980000002
2023-10-16,-122,7795.916980000002
2023-10-17,-2.16696,7793.750020000002
2023-10-18,-206,7587.750020000002
2023-10-19,-7,7580.750020000002
2023-10-20,-47,7533.750020000002
2023-10-23,-158,7375.750020000002
2023-10-24,77,7452.750020000002
2023-10-25,25,7477.750020000002
2023-10-26,-292,7185.750020000002
2023-10-27,86,7271.750020000002
2023-10-30,8,7279.750020000002
2023-10-31,-163,7116.750020000002
2023-11-01,53,7169.750020000002
2023-11-02,339,7508.750020000002
2023-11-03,125,7633.750020000002
2023-11-06,159,7792.750020000002
2023-11-07,35,7827.750020000002
2023-11-08,44,7871.750020000002
2023-11-09,11,7882.750020000002
2023-11-10,-31,7851.750020000002
2023-11-13,142,7993.750020000002
2023-11-14,70.82128,8064.571300000002
2023-11-15,191,8255.571300000003
2023-11-16,27,8282.571300000003
2023-11-17,33,8315.571300000003
2023-11-20,-18,8297.571300000003
2023-11-21,210,8507.571300000003
2023-11-22,-122,8385.571300000003
2023-11-23,15,8400.571300000003
2023-11-24,-11,8389.571300000003
2023-11-27,-121,8268.571300000003
2023-11-28,188,8456.571300000003
2023-11-29,-21,8435.571300000003
2023-11-30,54,8489.571300000003
2023-12-01,31,8520.571300000003
2023-12-04,-6,8514.571300000003
2023-12-05,-109,8405.571300000003
2023-12-06,68,8473.571300000003
2023-12-07,-106,8367.571300000003
2023-12-08,104,8471.571300000003
2023-12-11,43,8514.571300000003
2023-12-12,44,8558.571300000003
2023-12-13,-5,8553.571300000003
2023-12-14,206,8759.571300000003
2023-12-15,10,8769.571300000003
2023-12-18,-20.20596,8749.365340000004
2023-12-19,-85,8664.365340000004
2023-12-20,99,8763.365340000004
2023-12-21,-134,8629.365340000004
2023-12-22,31,8660.365340000004
2023-12-25,62,8722.365340000004
2023-12-26,112,8834.365340000004
2023-12-27,125,8959.365340000004
2023-12-28,7,8966.365340000004
2023-12-29,4,8970.365340000004
2024-01-02,-70,8900.365340000004
2024-01-03,-255,8645.365340000004
2024-01-04,5,8650.365340000004
2024-01-05,-32,8618.365340000004
2024-01-08,77,8695.365340000004
2024-01-09,-48,8647.365340000004
2024-01-10,-87,8560.365340000004
2024-01-11,110,8670.365340000004
2024-01-12,-83,8587.365340000004
2024-01-15,67,8654.365340000004
2024-01-16,-224.19448,8430.170860000004
2024-01-17,-127,8303.170860000004
2024-01-18,47,8350.170860000004
2024-01-19,392,8742.170860000004
2024-01-22,141,8883.170860000004
2024-01-23,53,8936.170860000004
2024-01-24,28,8964.170860000004
2024-01-25,101,9065.170860000004
2024-01-26,2,9067.170860000004
2024-01-29,124,9191.170860000004
2024-01-30,-42,9149.170860000004
2024-01-31,-160,8989.170860000004
2024-02-01,64,9053.170860000004
2024-02-02,99,9152.170860000004
2024-02-05,1,9153.170860000004
2024-02-15,581,9734.170860000004
2024-02-16,-27,9707.170860000004
2024-02-19,30,9737.170860000004
2024-02-20,78.7496,9815.920460000003
2024-02-21,-67,9748.920460000003
2024-02-22,193,9941.920460000003
2024-02-23,26,9967.920460000003
2024-02-26,52,10019.920460000003
2024-02-27,-94,9925.920460000003
2024-02-29,91,10016.920460000003
2024-03-01,0,10016.920460000003
2024-03-04,350,10366.920460000003
2024-03-05,79,10445.920460000003
2024-03-06,117,10562.920460000003
2024-03-07,195,10757.920460000003
2024-03-08,92,10849.920460000003
2024-03-11,-78,10771.920460000003
2024-03-12,238,11009.920460000003
2024-03-13,-26,10983.920460000003
2024-03-14,12,10995.920460000003
2024-03-15,-212,10783.920460000003
2024-03-18,186,10969.920460000003
2024-03-19,-50.2954,10919.625060000002
2024-03-20,-52,10867.625060000002
2024-03-21,427,11294.625060000002
2024-03-22,-20,11274.625060000002
2024-03-25,-11,11263.625060000002
2024-03-26,-44,11219.625060000002
2024-03-27,73,11292.625060000002
2024-03-28,-56,11236.625060000002
2024-03-29,76,11312.625060000002
2024-04-01,15,11327.625060000002
2024-04-02,228,11555.625060000002
